t,s_z(t),v_z(t),p_z(t),L(t)
0.001,-5,0,0,0
0.002,-5,1.598759E-09,7.993794E-07,0
0.003,-5,3.190944E-09,1.595472E-06,0
0.004,-5,4.78546E-09,2.39273E-06,0
0.005,-5,6.380521E-09,3.19026E-06,0
0.006000001,-5,7.967541E-09,3.983771E-06,0
0.007000001,-5,9.570645E-09,4.785322E-06,0
0.008,-5,1.115767E-08,5.578832E-06,0
0.009000001,-5,1.276077E-08,6.380384E-06,0
0.01,-5,1.434779E-08,7.173894E-06,0
0.011,-5,1.595089E-08,7.975445E-06,0
0.012,-5,1.753791E-08,8.768956E-06,0
0.013,-5,1.914102E-08,9.570507E-06,0
0.014,-5,2.072804E-08,1.036402E-05,0
0.015,-5,2.233114E-08,1.116557E-05,0
0.016,-5,2.391816E-08,1.195908E-05,0
0.017,-5,2.552126E-08,1.276063E-05,0
0.018,-5,2.710828E-08,1.355414E-05,0
0.019,-5,2.871139E-08,1.435569E-05,0
0.02,-5,3.029841E-08,1.51492E-05,0
0.021,-5,3.190151E-08,1.595075E-05,0
0.022,-5,3.348853E-08,1.674426E-05,0
0.023,-5,3.509163E-08,1.754581E-05,0
0.024,-5,3.667865E-08,1.833932E-05,0
0.025,-5,3.828175E-08,1.914087E-05,0
0.026,-5,3.986877E-08,1.993438E-05,0
0.027,-5,4.147187E-08,2.073593E-05,0
0.028,-5,4.305889E-08,2.152944E-05,0
0.029,-5,4.466199E-08,2.233099E-05,0
0.03,-5,4.624901E-08,2.31245E-05,0
0.031,-5,4.785212E-08,2.392606E-05,0
0.032,-5,4.943913E-08,2.471957E-05,0
0.033,-5,5.104224E-08,2.552112E-05,0
0.034,-5,5.262926E-08,2.631463E-05,0
0.035,-5,5.423236E-08,2.711618E-05,0
0.03599999,-5,5.581938E-08,2.790969E-05,0
0.03699999,-5,5.742248E-08,2.871124E-05,0
0.03799999,-5,5.90095E-08,2.950475E-05,0
0.03899999,-5,6.061261E-08,3.03063E-05,0
0.03999999,-5,6.219963E-08,3.109981E-05,0
0.04099999,-5,6.380273E-08,3.190136E-05,0
0.04199998,-5,6.538975E-08,3.269487E-05,0
0.04299998,-5,6.699285E-08,3.349642E-05,0
0.04399998,-5,6.857987E-08,3.428993E-05,0
0.04499998,-5,7.018298E-08,3.509149E-05,0
0.04599998,-5,7.177E-08,3.5885E-05,0
0.04699998,-5,7.33731E-08,3.668655E-05,0
0.04799997,-5,7.496012E-08,3.748006E-05,0
0.04899997,-5,7.656323E-08,3.828161E-05,0
0.04999997,-5,7.815024E-08,3.907512E-05,0
0.05099997,-5,7.975335E-08,3.987667E-05,0
0.05199997,-5,8.134037E-08,4.067018E-05,0
0.05299997,-5,8.294347E-08,4.147173E-05,0
0.05399996,-5,8.453049E-08,4.226524E-05,0
0.05499996,-5,8.61336E-08,4.30668E-05,0
0.05599996,-5,8.772061E-08,4.386031E-05,0
0.05699996,-5,8.932372E-08,4.466186E-05,0
0.05799996,-5,9.091074E-08,4.545537E-05,0
0.05899996,-5,9.251384E-08,4.625692E-05,0
0.05999995,-5,9.410086E-08,4.705043E-05,0
0.06099995,-5,9.570397E-08,4.785198E-05,0
0.06199995,-5,9.729099E-08,4.864549E-05,0
0.06299995,-5,9.889409E-08,4.944704E-05,0
0.06399995,-5,1.004811E-07,5.024055E-05,0
0.06499995,-5,1.020842E-07,5.104211E-05,0
0.06599995,-5,1.036712E-07,5.183561E-05,0
0.06699996,-5,1.052743E-07,5.263717E-05,0
0.06799996,-5,1.068614E-07,5.343067E-05,0
0.06899996,-5,1.084645E-07,5.423223E-05,0
0.06999996,-5,1.100515E-07,5.502574E-05,0
0.07099997,-5,1.116546E-07,5.582729E-05,0
0.07199997,-5,1.132416E-07,5.66208E-05,0
0.07299997,-5,1.148447E-07,5.742235E-05,0
0.07399997,-5,1.164317E-07,5.821586E-05,0
0.07499997,-5,1.180348E-07,5.901741E-05,0
0.07599998,-5,1.196219E-07,5.981093E-05,0
0.07699998,-5,1.21225E-07,6.061247E-05,0
0.07799998,-5,1.22812E-07,6.140599E-05,0
0.07899998,-5,1.244151E-07,6.220754E-05,0
0.07999998,-5,1.260021E-07,6.300105E-05,0
0.08099999,-5,1.276052E-07,6.38026E-05,0
0.08199999,-5,1.291922E-07,6.459611E-05,0
0.08299999,-5,1.307953E-07,6.539766E-05,0
0.08399999,-5,1.323824E-07,6.619118E-05,0
0.08499999,-5,1.339855E-07,6.699272E-05,0
0.086,-5,1.355725E-07,6.778623E-05,0
0.087,-5,1.371756E-07,6.858778E-05,0
0.088,-5,1.387626E-07,6.93813E-05,0
0.089,-5,1.403657E-07,7.018285E-05,0
0.09,-5,1.419527E-07,7.097636E-05,0
0.09100001,-5,1.435558E-07,7.17779E-05,0
0.09200001,-5,1.451428E-07,7.257142E-05,0
0.09300001,-5,1.467459E-07,7.337297E-05,0
0.09400001,-5,1.48333E-07,7.416648E-05,0
0.09500001,-5,1.499361E-07,7.496803E-05,0
0.09600002,-5,1.515231E-07,7.576154E-05,0
0.09700002,-5,1.531262E-07,7.656309E-05,0
0.09800002,-5,1.547132E-07,7.735661E-05,0
0.09900002,-5,1.563163E-07,7.815815E-05,0
0.1,-5,1.579033E-07,7.895166E-05,0
0.101,-5,1.595064E-07,7.975322E-05,0
0.102,-5,1.610935E-07,8.054673E-05,0
0.103,-5,1.626966E-07,8.134828E-05,0
0.104,-5,1.642836E-07,8.214179E-05,0
0.105,-5,1.658867E-07,8.294334E-05,0
0.106,-5,1.674737E-07,8.373685E-05,0
0.107,-5,1.690768E-07,8.45384E-05,0
0.108,-5,1.706638E-07,8.533191E-05,0
0.109,-5,1.722669E-07,8.613346E-05,0
0.11,-5,1.73854E-07,8.692698E-05,0
0.111,-5,1.754571E-07,8.772853E-05,0
0.112,-5,1.770441E-07,8.852204E-05,0
0.1130001,-5,1.786472E-07,8.932358E-05,0
0.1140001,-5,1.802342E-07,9.01171E-05,0
0.1150001,-5,1.818373E-07,9.091865E-05,0
0.1160001,-5,1.834243E-07,9.171216E-05,0
0.1170001,-5,1.850274E-07,9.251371E-05,0
0.1180001,-5,1.866145E-07,9.330722E-05,0
0.1190001,-5,1.882176E-07,9.410877E-05,0
0.1200001,-5,1.898046E-07,9.490229E-05,0
0.1210001,-5,1.914077E-07,9.570384E-05,0
0.1220001,-5,1.929947E-07,9.649734E-05,0
0.1230001,-5,1.945978E-07,9.729889E-05,0
0.1240001,-5,1.961848E-07,9.809241E-05,0
0.1250001,-5,1.977879E-07,9.889396E-05,0
0.1260001,-5,1.99375E-07,9.968747E-05,0
0.1270001,-5,2.009781E-07,0.000100489,0
0.1280001,-5,2.025651E-07,0.0001012825,0
0.1290001,-5,2.041682E-07,0.0001020841,0
0.1300001,-5,2.057552E-07,0.0001028776,0
0.1310001,-5,2.073583E-07,0.0001036791,0
0.1320001,-5,2.089453E-07,0.0001044727,0
0.1330001,-5,2.105484E-07,0.0001052742,0
0.1340001,-5,2.121354E-07,0.0001060677,0
0.1350001,-5,2.137385E-07,0.0001068693,0
0.1360001,-5,2.153256E-07,0.0001076628,0
0.1370001,-5,2.169287E-07,0.0001084643,0
0.1380001,-5,2.185157E-07,0.0001092578,0
0.1390001,-5,2.201188E-07,0.0001100594,0
0.1400001,-5,2.217058E-07,0.0001108529,0
0.1410001,-5,2.233089E-07,0.0001116545,0
0.1420001,-5,2.248959E-07,0.000112448,0
0.1430001,-5,2.26499E-07,0.0001132495,0
0.1440001,-5,2.280861E-07,0.000114043,0
0.1450001,-5,2.296892E-07,0.0001148446,0
0.1460001,-5,2.312762E-07,0.0001156381,0
0.1470001,-5,2.328793E-07,0.0001164396,0
0.1480001,-5,2.344663E-07,0.0001172331,0
0.1490001,-5,2.360694E-07,0.0001180347,0
0.1500001,-5,2.376564E-07,0.0001188282,0
0.1510001,-5,2.392595E-07,0.0001196298,0
0.1520001,-5,2.408466E-07,0.0001204233,0
0.1530001,-5,2.424497E-07,0.0001212248,0
0.1540001,-5,2.440367E-07,0.0001220183,0
0.1550001,-5,2.456398E-07,0.0001228199,0
0.1560001,-5,2.472268E-07,0.0001236134,0
0.1570001,-5,2.488299E-07,0.0001244149,0
0.1580001,-5,2.504169E-07,0.0001252084,0
0.1590001,-5,2.5202E-07,0.00012601,0
0.1600001,-5,2.53607E-07,0.0001268035,0
0.1610001,-5,2.552101E-07,0.000127605,0
0.1620001,-5,2.567971E-07,0.0001283985,0
0.1630002,-5,2.584002E-07,0.0001292001,0
0.1640002,-5,2.599872E-07,0.0001299936,0
0.1650002,-5,2.615903E-07,0.0001307951,0
0.1660002,-5,2.631773E-07,0.0001315887,0
0.1670002,-5,2.647804E-07,0.0001323902,0
0.1680002,-5,2.663674E-07,0.0001331837,0
0.1690002,-5,2.679705E-07,0.0001339853,0
0.1700002,-5,2.695575E-07,0.0001347788,0
0.1710002,-5,2.711606E-07,0.0001355803,0
0.1720002,-5,2.727477E-07,0.0001363738,0
0.1730002,-5,2.743508E-07,0.0001371754,0
0.1740002,-5,2.759378E-07,0.0001379689,0
0.1750002,-5,2.775409E-07,0.0001387704,0
0.1760002,-5,2.791279E-07,0.0001395639,0
0.1770002,-5,2.80731E-07,0.0001403655,0
0.1780002,-5,2.82318E-07,0.000141159,0
0.1790002,-5,2.839211E-07,0.0001419605,0
0.1800002,-5,2.855081E-07,0.000142754,0
0.1810002,-5,2.871112E-07,0.0001435556,0
0.1820002,-5,2.886982E-07,0.0001443491,0
0.1830002,-5,2.903013E-07,0.0001451506,0
0.1840002,-5,2.918883E-07,0.0001459441,0
0.1850002,-5,2.934914E-07,0.0001467457,0
0.1860002,-5,2.950784E-07,0.0001475392,0
0.1870002,-5,2.966815E-07,0.0001483408,0
0.1880002,-5,2.982685E-07,0.0001491343,0
0.1890002,-5,2.998716E-07,0.0001499358,0
